Plot,X,Y,grow_BA_89_04,grow_BA_04_18,grow_BA_dif,ingrow_stems_89_04,ingrow_stems_04_18,ingrow_stems_dif,live_BA_89,live_BA_04,live_stems_89,live_stems_04,live_BA_LS_89,live_BA_LS_04,surv_BA_89,surv_BA_04,surv_stems_89,surv_stems_04,surv_BA_LS_89,surv_BA_LS_04,mort_BA_89_04,mort_BA_04_18,live_BA_LS_89_prop,live_BA_LS_04_prop,surv_BA_LS_89_prop,surv_BA_LS_04_prop,mort_BA_89_04_prop,mort_BA_04_18_prop,Slope,TPI
C3,426496.193,4417480.438,0.31489754,0.05978563,-0.255111909,0,1,1,54.93742343,57.52264003,14,13,0,0,52.79917693,6.049215194,13,3,0,0,2.1382465,51.47342483,0,0,0,0,0.038921492,0.894837664,11.68464088,0.331254929
C3,426506.193,4417480.438,0.188354188,0,-0.188354188,0,0,0,30.18779943,33.01311224,7,7,0,0,30.18779943,0,7,0,0,0,0,33.01311224,0,0,0,NA,0,1,14.81184196,0.262511244
C3,426516.193,4417480.438,0.331422317,0.168927925,-0.162494392,0,2,2,56.3802784,61.35161315,9,9,0,0,56.3802784,1.168986626,9,1,0,0,0,60.18262653,0,0,0,0,0,0.980946114,4.657410145,0.287014645
C3,426526.193,4417480.438,0.171541431,0.156355944,-0.015185486,0,2,2,70.98514995,48.85639961,10,8,0,0,46.28327815,3.950317142,8,2,0,0,24.7018718,44.90608247,0,0,0,0,0.347986471,0.919144326,10.50861835,0.016940433
C3,426536.193,4417480.438,0.023797564,0.066242725,0.042445161,0,2,2,33.6821144,17.18254832,7,5,0,0,9.576673966,11.70478883,5,3,0,0,24.10544043,5.477759491,0,0,0,0,0.715674798,0.318797852,13.517272,0.401424949
C3,426546.193,4417480.438,0.136476021,0.135094094,-0.001381927,0,0,0,32.46270521,34.50984552,5,5,1.112202339,1.389290811,32.46270521,2.44612258,5,2,1.112202339,1.389290811,0,32.06372294,0.034260926,0.04025781,0.034260926,0.567956333,0,0.929118124,4.773078442,0.014518281
C3,426556.193,4417480.438,0.09072396,0.339140537,0.248416577,0,4,4,62.83813626,22.34654124,7,3,0,0,20.98568185,1.743662463,3,1,0,0,41.85245441,20.60287878,0,0,0,0,0.666035896,0.921971707,8.583021164,0.167596763
C3,426566.193,4417480.438,0.176159572,0.214548338,0.038388766,1,0,-1,40.56039589,31.21816328,6,5,0,0.664761005,27.91100869,6.432803657,4,2,0,0.664761005,12.6493872,24.78535962,0,0.021294046,0,0.103339234,0.311865477,0.793940355,1.623550057,0.017870786
C3,426576.193,4417480.438,0.255008312,0.193314538,-0.061693774,0,0,0,43.03275077,46.85787545,7,7,5.599024967,6.92791866,43.03275077,7.861050217,7,2,5.599024967,6.92791866,0,38.99682523,0.130110785,0.147849611,0.130110785,0.881296833,0,0.832236307,4.994130135,-0.183096227
C3,426586.193,4417480.438,0.06249675,0.198599146,0.136102396,1,2,1,22.13951029,21.85480345,5,5,0,0,20.2525912,5.699163233,4,3,0,0,1.886919088,16.15564022,0,0,0,0,0.085228583,0.739226059,7.718545437,-0.031002779
C3,426596.193,4417480.438,0.215209569,0.161881781,-0.053327787,0,1,1,63.28345702,44.94645194,10,9,0,0,41.7183084,2.271999807,9,2,0,0,21.56514861,42.67445213,0,0,0,0,0.340770711,0.949450964,3.419761896,0.268106455
C3,426606.193,4417480.438,0.195925426,0.307359961,0.111434535,0,3,3,23.9657181,26.90459949,7,7,0,0,23.9657181,6.254518274,7,4,0,0,0,20.65008121,0,0,0,0,0,0.767529776,3.485700846,0.036271441
C3,426616.193,4417480.438,0.296739134,0.296813186,7.41E-05,2,2,0,26.25538936,32.33358575,6,8,4.980209754,9.005218262,26.25538936,11.68845255,6,4,4.980209754,7.378108887,0,20.6451332,0.189683333,0.278509731,0.189683333,0.631230598,0,0.63850429,22.93418694,-0.050939903
