Plot,TreeID,Tag,Species,X,Y,DBH_89,DBH_04,DBH_18,Dia_89_04,Dia_04_18,Dia_dif,NDI_89_live,NDI_89_consp,NDI_89_mort,NDI_89_propconsp,NDI_89_propmort,NDI_04_live,NDI_04_consp,NDI_04_mort,NDI_04_propconsp,NDI_04_propmort,Slope,TPI
B2,FRB2000100017,18,PICO,425740.429,4417849.283,14.3,14.9,15.1,0.04,0.014285714,-0.025714286,1.4170683,1.4170683,0.046826734,1,0.033044797,1.514848432,1.479264055,1.208613871,0.976509612,0.797844752,10.46581841,-0.124425461
B2,FRB2000100019,20,PICO,425740.48,4417851.361,21.7,22.8,NA,0.073333333,NA,NA,1.52085058,1.52085058,0.060768595,1,0.039956979,NA,NA,NA,NA,NA,10.94656563,-0.144295581
B2,FRB2000100039,40,PICO,425737.4,4417848.95,17,17.6,19.1,0.04,0.107142857,0.067142857,1.548363377,1.548363377,0.072614712,1,0.04689772,1.64800511,1.584906821,1.168723154,0.961712322,0.709174472,10.19629192,0.03231205
B2,FRB2000100040,41,PICO,425737.535,4417848.234,15.8,16,17.5,0.013333333,0.107142857,0.093809524,1.599353369,1.599353369,0.076882323,1,0.048070879,1.712366949,1.639430402,1.200068309,0.957406006,0.700824265,10.19629192,0.03231205
B2,FRB2000100041,42,PICO,425734.997,4417850.041,26.2,28.6,NA,0.16,NA,NA,1.320172439,1.320172439,0.09099307,1,0.06892514,NA,NA,NA,NA,NA,9.549697876,0.006667273
B2,FRB2000100042,43,PICO,425733.397,4417848.627,24.5,24.8,NA,0.02,NA,NA,1.268297237,1.268297237,0.134273022,1,0.105868733,NA,NA,NA,NA,NA,9.323526382,-0.02594591
B2,FRB2000100056,57,PICO,425727.636,4417846.45,16,16.4,18,0.026666667,0.114285714,0.087619048,1.553897237,1.553897237,0.114680488,1,0.073801848,1.52811875,1.493685521,1.314623464,0.977466915,0.860288812,8.283699036,0.15417827
B2,FRB2000100057,59,PICO,425723.58,4417846.615,23,23.6,25.4,0.04,0.128571429,0.088571429,1.217028863,1.217028863,0.136034029,1,0.111775516,1.14168229,1.109795628,0.958251693,0.972070459,0.839333062,11.69995213,0.03255311
B2,FRB2000100058,60,PICO,425720.029,4417848.597,25.5,25.2,NA,-0.02,NA,NA,1.468504411,1.468504411,0.11036881,1,0.075157289,NA,NA,NA,NA,NA,9.277655602,-0.052426311
B2,FRB2000100059,61,PICO,425721.827,4417852.563,17,16.9,NA,-0.006666667,NA,NA,1.384530164,1.384530164,0.092870007,1,0.067076911,NA,NA,NA,NA,NA,8.173303604,0.063771534
B2,FRB2000100070,72,PICO,425720.387,4417852.463,12.9,13.6,NA,0.046666667,NA,NA,1.426891053,1.426891053,0.083825203,1,0.058746744,NA,NA,NA,NA,NA,9.469207764,0.042182417
B2,FRB2000100071,73,PICO,425719.525,4417850.526,30.1,32,NA,0.126666667,NA,NA,1.639462272,1.639462272,0.073409344,1,0.044776477,NA,NA,NA,NA,NA,8.971587181,-0.004137298
B2,FRB2000100072,74,PICO,425719.109,4417850.044,27.5,28.6,NA,0.073333333,NA,NA,1.742183577,1.742183577,0.079149007,1,0.045430923,NA,NA,NA,NA,NA,8.971587181,-0.004137298
